City/Town,Ward,Pct,"Baker and Polito","Gonzalez and Palfrey","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Abington,-,1,984,311,3,45,"1,343"
Abington,-,2,967,330,2,62,"1,361"
Abington,-,3,"1,047",325,6,68,"1,446"
Abington,-,4,"1,247",350,1,68,"1,666"
Abington,-,5,"1,167",370,4,55,"1,596"
Acton,-,1,"1,074",649,3,40,"1,766"
Acton,-,2,"1,230",666,2,43,"1,941"
Acton,-,3,"1,141",732,6,39,"1,918"
Acton,-,4,"1,159",790,6,36,"1,991"
Acton,-,5,"1,152",707,0,44,"1,903"
Acton,-,6,"1,018",597,5,45,"1,665"
Acushnet,-,1,882,341,0,46,"1,269"
Acushnet,-,2,"1,126",338,8,52,"1,524"
Acushnet,-,3,"1,134",316,4,50,"1,504"
Adams,-,1,294,243,0,11,548
Adams,-,2,364,268,0,22,654
Adams,-,3,396,241,1,22,660
Adams,-,4,325,241,1,7,574
Adams,-,5,453,284,0,18,755
Agawam,-,1,974,252,2,25,"1,253"
Agawam,-,2,"1,418",274,3,54,"1,749"
Agawam,-,3,"1,127",281,2,48,"1,458"
Agawam,-,4,959,249,7,27,"1,242"
Agawam,-,5,"1,389",307,8,56,"1,760"
Agawam,-,6,"1,131",242,7,31,"1,411"
Agawam,-,7,"1,218",258,13,52,"1,541"
Agawam,-,8,"1,320",272,8,46,"1,646"
Alford,-,1,98,158,0,5,261
Amesbury,-,1,"1,077",371,2,31,"1,481"
Amesbury,-,2,834,422,4,42,"1,302"
Amesbury,-,3,911,409,5,29,"1,354"
Amesbury,-,4,750,296,2,30,"1,078"
Amesbury,-,5,"1,068",311,6,44,"1,429"
Amesbury,-,6,750,401,2,29,"1,182"
Amherst,-,1,234,617,0,24,875
Amherst,-,2,444,828,2,31,"1,305"
Amherst,-,3,226,452,1,17,696
Amherst,-,4,228,414,0,19,661
Amherst,-,5,337,633,2,22,994
Amherst,-,6,458,985,1,34,"1,478"
Amherst,-,7,460,940,2,20,"1,422"
Amherst,-,8,599,"1,033",3,33,"1,668"
Amherst,-,9,327,855,2,27,"1,211"
Amherst,-,10,241,565,1,20,827
Andover,-,1,969,514,4,28,"1,515"
Andover,-,2,"1,414",478,7,46,"1,945"
Andover,-,3,"1,290",550,5,52,"1,897"
Andover,-,4,"1,394",425,8,37,"1,864"
Andover,-,5,"1,456",439,4,46,"1,945"
Andover,-,6,"1,320",434,7,55,"1,816"
Andover,-,7,"1,085",343,4,32,"1,464"
Andover,-,7A,275,87,2,12,376
Andover,-,8,"1,297",494,5,46,"1,842"
Andover,-,9,"1,393",422,8,46,"1,869"
Aquinnah,-,1,106,156,0,5,267
Arlington,-,1,376,444,2,17,839
Arlington,-,2,601,608,1,33,"1,243"
Arlington,-,3,470,731,1,25,"1,227"
Arlington,-,4,414,676,4,26,"1,120"
Arlington,-,5,497,593,2,24,"1,116"
Arlington,-,6,439,653,0,25,"1,117"
Arlington,-,7,450,555,2,30,"1,037"
Arlington,-,8,508,713,2,48,"1,271"
Arlington,-,9,533,528,5,31,"1,097"
Arlington,-,10,521,671,2,33,"1,227"
Arlington,-,11,664,566,2,28,"1,260"
Arlington,-,12,677,655,1,34,"1,367"
Arlington,-,13,774,368,4,29,"1,175"
Arlington,-,14,497,579,1,31,"1,108"
Arlington,-,15,630,557,2,38,"1,227"
Arlington,-,16,573,533,0,33,"1,139"
Arlington,-,17,456,537,4,36,"1,033"
Arlington,-,18,733,473,2,53,"1,261"
Arlington,-,19,619,557,0,26,"1,202"
Arlington,-,20,527,580,2,32,"1,141"
Arlington,-,21,557,565,1,31,"1,154"
Ashburnham,-,1,"2,087",661,11,90,"2,849"
Ashby,-,1,"1,247",308,0,48,"1,603"
Ashfield,-,1,450,586,0,15,"1,051"
Ashland,-,1,"1,008",468,0,31,"1,507"
Ashland,-,2,"1,202",425,0,34,"1,661"
Ashland,-,3,"1,067",434,0,31,"1,532"
Ashland,-,4,"1,040",424,0,31,"1,495"
Ashland,-,5,"1,121",455,0,48,"1,624"
Athol,-,1,"1,075",310,6,23,"1,414"
Athol,-,2,981,259,4,21,"1,265"
Athol,-,3,937,267,5,27,"1,236"
Attleboro,1,A,848,283,0,0,"1,131"
Attleboro,1,B,824,299,0,29,"1,152"
Attleboro,2,A,"1,093",409,4,22,"1,528"
Attleboro,2,B,"1,103",419,0,31,"1,553"
Attleboro,3,A,943,375,0,17,"1,335"
Attleboro,3,B,999,404,0,30,"1,433"
Attleboro,4,A,671,366,2,25,"1,064"
Attleboro,4,B,"1,386",477,0,29,"1,892"
Attleboro,5,A,438,326,0,0,764
Attleboro,5,B,926,443,3,32,"1,404"
Attleboro,6,A,853,339,2,25,"1,219"
Attleboro,6,B,983,439,2,34,"1,458"
Auburn,-,1,"1,296",302,5,32,"1,635"
Auburn,-,2,"1,235",338,1,33,"1,607"
Auburn,-,3,"1,294",305,4,32,"1,635"
Auburn,-,4,"1,111",302,4,34,"1,451"
Auburn,-,5,"1,089",297,0,30,"1,416"
Avon,-,1,"1,339",538,3,70,"1,950"
Ayer,-,1,"1,152",451,9,43,"1,655"
Ayer,-,2,"1,244",476,2,35,"1,757"
Barnstable,-,1,"1,595",513,0,61,"2,169"
Barnstable,-,2,"1,435",413,5,55,"1,908"
Barnstable,-,3,913,400,2,34,"1,349"
Barnstable,-,4,"1,314",404,8,52,"1,778"
Barnstable,-,5,"1,621",358,2,49,"2,030"
Barnstable,-,6,"1,453",391,5,53,"1,902"
Barnstable,-,7,"1,643",483,5,54,"2,185"
Barnstable,-,8,806,380,2,31,"1,219"
Barnstable,-,9,481,273,2,24,780
Barnstable,-,10,"1,263",365,3,47,"1,678"
Barnstable,-,11,"1,555",436,3,72,"2,066"
Barnstable,-,12,"1,433",414,6,54,"1,907"
Barnstable,-,13,912,363,4,32,"1,311"
Barre,-,1,851,320,6,29,"1,206"
Barre,-,2,821,213,6,29,"1,069"
Becket,-,1,425,356,3,21,805
Bedford,-,1,"1,262",581,7,41,"1,891"
Bedford,-,2,"1,096",514,12,53,"1,675"
Bedford,-,3,"1,163",562,4,36,"1,765"
Bedford,-,4,"1,055",486,7,47,"1,595"
Belchertown,-,A,"1,128",606,1,33,"1,768"
Belchertown,-,B,"1,187",484,1,51,"1,723"
Belchertown,-,C,"1,343",438,5,69,"1,855"
Belchertown,-,D,"1,008",721,3,36,"1,768"
Bellingham,-,1,"1,027",318,6,40,"1,391"
Bellingham,-,2,"1,191",298,5,49,"1,543"
Bellingham,-,3,"1,119",323,5,27,"1,474"
Bellingham,-,4,997,236,15,28,"1,276"
Bellingham,-,4A,136,27,0,4,167
Bellingham,-,5,"1,087",260,2,36,"1,385"
Belmont,-,1,897,706,6,46,"1,655"
Belmont,-,2,"1,129",561,4,40,"1,734"
Belmont,-,3,921,612,6,39,"1,578"
Belmont,-,4,725,639,1,31,"1,396"
Belmont,-,5,817,685,1,49,"1,552"
Belmont,-,6,875,764,7,34,"1,680"
Belmont,-,7,766,794,2,46,"1,608"
Belmont,-,8,"1,087",638,4,59,"1,788"
Berkley,-,1,"1,183",357,13,64,"1,617"
Berkley,-,2,959,276,1,37,"1,273"
Berlin,-,1,"1,259",457,6,38,"1,760"
Bernardston,-,1,687,347,2,16,"1,052"
Beverly,1,1,"1,044",356,3,49,"1,452"
Beverly,1,2,"1,195",397,2,55,"1,649"
Beverly,2,1,835,608,1,46,"1,490"
Beverly,2,2,988,659,1,52,"1,700"
Beverly,3,1,764,454,2,25,"1,245"
Beverly,3,2,976,415,0,43,"1,434"
Beverly,4,1,735,294,1,36,"1,066"
Beverly,4,2,"1,280",663,1,50,"1,994"
Beverly,5,1,"1,179",385,1,52,"1,617"
Beverly,5,2,"1,209",384,0,48,"1,641"
Beverly,6,1,"1,303",458,2,42,"1,805"
Beverly,6,2,"1,427",385,2,66,"1,880"
Billerica,-,1,"1,189",419,10,56,"1,674"
Billerica,-,2,"1,310",401,6,41,"1,758"
Billerica,-,3,"1,187",409,9,46,"1,651"
Billerica,-,4,"1,072",288,5,49,"1,414"
Billerica,-,5,"1,376",322,16,91,"1,805"
Billerica,-,6,"1,102",352,6,50,"1,510"
Billerica,-,7,"1,109",414,9,53,"1,585"
Billerica,-,8,"1,320",389,10,79,"1,798"
Billerica,-,9,"1,187",349,10,73,"1,619"
Billerica,-,10,"1,310",334,15,66,"1,725"
Billerica,-,11,"1,148",335,5,47,"1,535"
Blackstone,-,1,831,230,1,23,"1,085"
Blackstone,-,2,988,268,2,30,"1,288"
Blackstone,-,3,948,242,4,30,"1,224"
Blandford,-,1,470,106,0,28,604
Bolton,-,1,"2,058",796,23,75,"2,952"
Boston,1,1,430,421,1,16,868
Boston,1,2,248,324,0,9,581
Boston,1,3,605,715,4,25,"1,349"
Boston,1,4,237,278,4,15,534
Boston,1,5,334,330,4,18,686
Boston,1,6,262,302,2,16,582
Boston,1,7,255,316,4,16,591
Boston,1,8,355,405,5,14,779
Boston,1,9,273,301,6,14,594
Boston,1,10,170,179,0,21,370
Boston,1,11,505,313,1,32,851
Boston,1,12,530,275,4,17,826
Boston,1,13,559,403,4,30,996
Boston,1,14,262,169,5,14,450
Boston,1,15,1,1,0,0,2
Boston,2,1,"1,021",384,8,45,"1,458"
Boston,2,2,970,603,5,47,"1,625"
Boston,2,3,729,298,0,20,"1,047"
Boston,2,4,570,300,3,28,901
Boston,2,5,767,323,3,23,"1,116"
Boston,2,6,871,374,3,34,"1,282"
Boston,2,7,675,381,3,20,"1,079"
Boston,3,1,"1,340",557,5,45,"1,947"
Boston,3,2,618,334,3,16,971
Boston,3,3,709,384,4,16,"1,113"
Boston,3,4,756,496,2,27,"1,281"
Boston,3,5,"1,093",839,3,37,"1,972"
Boston,3,6,"1,627",988,10,48,"2,673"
Boston,3,7,"1,321","1,032",3,26,"2,382"
Boston,3,8,"1,533","1,410",6,61,"3,010"
Boston,4,1,694,546,1,26,"1,267"
Boston,4,2,"1,062",726,2,38,"1,828"
Boston,4,3,473,363,0,17,853
Boston,4,4,622,525,1,19,"1,167"
Boston,4,5,386,445,0,21,852
Boston,4,6,308,391,2,20,721
Boston,4,7,272,397,1,9,679
Boston,4,8,265,453,3,16,737
Boston,4,9,126,259,0,4,389
Boston,4,10,109,218,1,6,334
Boston,5,1,"1,378","1,055",2,33,"2,468"
Boston,5,2,369,530,1,16,916
Boston,5,2A,246,313,2,7,568
Boston,5,3,715,408,5,21,"1,149"
Boston,5,4,735,655,3,17,"1,410"
Boston,5,5,348,133,1,9,491
Boston,5,6,768,390,2,13,"1,173"
Boston,5,7,881,497,1,21,"1,400"
Boston,5,8,751,494,0,21,"1,266"
